obs	caseno	begin	end	event	backlog	agenda	qmv	qmvpostsea	qmvpostteu	coop	codec	eu9	eu10	eu12	eu15	thatcher
58	38	6195	6725	0	68	0	0	0	0	0	0	0	0	1	0	1
59	38	6725	7859	1	68	0	0	0	0	0	0	0	0	1	0	1
60	39	0	1447	0	68	0	0	0	0	0	0	0	0	0	0	0
61	39	1447	3648	0	68	0	0	0	0	0	0	1	0	0	0	0
62	39	3648	4369	0	68	0	0	0	0	0	0	1	0	0	0	1
63	39	4369	6195	0	68	0	0	0	0	0	0	0	1	0	0	1
64	39	6195	6725	0	68	0	0	0	0	0	0	0	0	1	0	1
65	39	6725	7859	1	68	0	0	0	0	0	0	0	0	1	0	1
66	40	0	681	1	68	0	1	0	0	0	0	0	0	0	0	0
67	41	0	1428	0	68	0	1	0	0	0	0	0	0	0	0	0
68	41	1428	2095	0	68	0	1	0	0	0	0	1	0	0	0	0
69	42	0	1410	0	68	0	0	0	0	0	0	0	0	0	0	0
70	42	1410	1943	1	68	0	0	0	0	0	0	1	0	0	0	0
71	43	0	468	1	68	0	0	0	0	0	0	0	0	0	0	0
72	44	0	1405	0	68	0	0	0	0	0	0	0	0	0	0	0
73	44	1405	3436	1	68	0	0	0	0	0	0	1	0	0	0	0
74	45	0	1405	0	68	0	0	0	0	0	0	0	0	0	0	0
75	45	1405	3436	1	68	0	0	0	0	0	0	1	0	0	0	0
76	46	0	1400	0	68	0	0	0	0	0	0	0	0	0	0	0
77	46	1400	2296	1	68	0	0	0	0	0	0	1	0	0	0	0
78	47	0	1400	0	68	0	0	0	0	0	0	0	0	0	0	0
79	47	1400	2296	1	68	0	0	0	0	0	0	1	0	0	0	0
80	48	0	1400	0	68	0	0	0	0	0	0	0	0	0	0	0
81	48	1400	2067	0	68	0	0	0	0	0	0	1	0	0	0	0
82	49	0	1400	0	68	0	0	0	0	0	0	0	0	0	0	0
83	49	1400	2067	0	68	0	0	0	0	0	0	1	0	0	0	0
84	50	0	1393	0	68	0	0	0	0	0	0	0	0	0	0	0
85	50	1393	2836	0	68	0	0	0	0	0	0	1	0	0	0	0
86	51	0	1393	0	68	0	0	0	0	0	0	0	0	0	0	0
87	51	1393	2836	0	68	0	0	0	0	0	0	1	0	0	0	0
88	52	0	1393	0	68	0	0	0	0	0	0	0	0	0	0	0
89	52	1393	3208	0	68	0	0	0	0	0	0	1	0	0	0	0
90	54	0	1393	0	68	0	1	0	0	0	0	0	0	0	0	0
91	54	1393	2060	0	68	0	1	0	0	0	0	1	0	0	0	0
92	55	0	1393	0	68	0	1	0	0	0	0	0	0	0	0	0
93	55	1393	2060	0	68	0	1	0	0	0	0	1	0	0	0	0
94	56	0	1393	0	68	0	1	0	0	0	0	0	0	0	0	0
95	56	1393	2836	0	68	0	1	0	0	0	0	1	0	0	0	0
96	57	0	864	1	68	0	0	0	0	0	0	0	0	0	0	0
97	58	0	1366	0	68	0	1	0	0	0	0	0	0	0	0	0
98	58	1366	2907	1	68	0	1	0	0	0	0	1	0	0	0	0
99	59	0	1358	0	68	0	0	0	0	0	0	0	0	0	0	0
100	59	1358	2807	1	68	0	0	0	0	0	0	1	0	0	0	0
101	60	0	1335	0	68	0	0	0	0	0	0	0	0	0	0	0
102	60	1335	3536	0	68	0	0	0	0	0	0	1	0	0	0	0
103	60	3536	4257	0	68	0	0	0	0	0	0	1	0	0	0	1
104	60	4257	6083	0	68	0	0	0	0	0	0	0	1	0	0	1
105	60	6083	6613	0	68	0	0	0	0	0	0	0	0	1	0	1
106	60	6613	7876	0	68	0	0	1	0	1	0	0	0	1	0	1
107	60	7876	8104	0	68	0	0	1	0	1	0	0	0	1	0	0
108	61	0	1335	0	68	0	1	0	0	0	0	0	0	0	0	0
109	61	1335	3536	0	68	0	1	0	0	0	0	1	0	0	0	0
110	61	3536	4257	0	68	0	1	0	0	0	0	1	0	0	0	1
111	61	4257	6083	0	68	0	1	0	0	0	0	0	1	0	0	1
112	61	6083	6613	0	68	0	1	0	0	0	0	0	0	1	0	1
113	61	6613	7876	0	68	0	0	1	0	1	0	0	0	1	0	1
114	61	7876	8104	0	68	0	0	1	0	1	0	0	0	1	0	0
115	62	0	1334	0	68	0	1	0	0	0	0	0	0	0	0	0
116	62	1334	2001	0	68	0	1	0	0	0	0	1	0	0	0	0
117	63	0	436	1	68	0	1	0	0	0	0	0	0	0	0	0
118	64	0	719	1	68	0	0	0	0	0	0	0	0	0	0	0
119	65	0	1243	0	68	0	0	0	0	0	0	0	0	0	0	0
120	65	1243	1565	1	68	0	0	0	0	0	0	1	0	0	0	0
121	66	0	426	1	68	0	1	0	0	0	0	0	0	0	0	0
122	67	0	426	1	68	0	1	0	0	0	0	0	0	0	0	0
123	68	0	69	1	68	0	0	0	0	0	0	0	0	0	0	0
124	69	0	1182	0	68	0	0	0	0	0	0	0	0	0	0	0
125	69	1182	2820	1	68	0	0	0	0	0	0	1	0	0	0	0
126	70	0	1182	0	68	0	1	0	0	0	0	0	0	0	0	0
127	70	1182	2820	1	68	0	1	0	0	0	0	1	0	0	0	0
128	71	0	1175	0	68	0	0	0	0	0	0	0	0	0	0	0
129	71	1175	1842	0	68	0	0	0	0	0	0	1	0	0	0	0
130	72	0	142	1	68	0	0	0	0	0	0	0	0	0	0	0
131	73	0	1155	0	68	0	0	0	0	0	0	0	0	0	0	0
132	73	1155	2598	0	68	0	0	0	0	0	0	1	0	0	0	0
133	74	0	1155	0	68	0	0	0	0	0	0	0	0	0	0	0
134	74	1155	2598	0	68	0	0	0	0	0	0	1	0	0	0	0
135	75	0	1155	0	68	0	1	0	0	0	0	0	0	0	0	0
136	75	1155	2598	0	68	0	1	0	0	0	0	1	0	0	0	0
137	76	0	1148	0	68	0	0	0	0	0	0	0	0	0	0	0
138	76	1148	1815	0	68	0	0	0	0	0	0	1	0	0	0	0
139	77	0	1123	0	68	0	0	0	0	0	0	0	0	0	0	0
140	77	1123	3324	0	68	0	0	0	0	0	0	1	0	0	0	0
141	77	3324	3699	1	68	0	0	0	0	0	0	1	0	0	0	1
142	78	0	1123	0	68	0	1	0	0	0	0	0	0	0	0	0
143	78	1123	3324	0	68	0	1	0	0	0	0	1	0	0	0	0
144	78	3324	3699	1	68	0	1	0	0	0	0	1	0	0	0	1
145	79	0	1116	0	68	0	0	0	0	0	0	0	0	0	0	0
146	79	1116	1783	0	68	0	0	0	0	0	0	1	0	0	0	0
147	80	0	1109	0	68	0	0	0	0	0	0	0	0	0	0	0
148	80	1109	2552	0	68	0	0	0	0	0	0	1	0	0	0	0
149	81	0	580	1	68	0	0	0	0	0	0	0	0	0	0	0
150	82	0	202	1	68	0	1	0	0	0	0	0	0	0	0	0
151	83	0	1105	0	68	0	1	0	0	0	0	0	0	0	0	0
152	83	1105	1772	0	68	0	1	0	0	0	0	1	0	0	0	0
153	84	0	1088	0	86	0	0	0	0	0	0	0	0	0	0	0
154	84	1088	2531	0	86	0	0	0	0	0	0	1	0	0	0	0
155	85	0	1082	0	86	0	0	0	0	0	0	0	0	0	0	0
156	85	1082	3283	0	86	0	0	0	0	0	0	1	0	0	0	0
157	85	3283	3357	0	86	0	0	0	0	0	0	1	0	0	0	1
158	86	0	425	1	86	0	0	0	0	0	0	0	0	0	0	0
159	87	0	1033	0	86	0	1	0	0	0	0	0	0	0	0	0
160	87	1033	2476	1	86	0	1	0	0	0	0	1	0	0	0	0
161	91	0	997	0	86	0	0	0	0	0	0	0	0	0	0	0
162	91	997	3198	0	86	0	0	0	0	0	0	1	0	0	0	0
163	91	3198	3272	0	86	0	0	0	0	0	0	1	0	0	0	1
164	92	0	973	0	86	0	0	0	0	0	0	0	0	0	0	0
165	92	973	3174	0	86	0	0	0	0	0	0	1	0	0	0	0
166	92	3174	3725	1	86	0	0	0	0	0	0	1	0	0	0	1
167	93	0	713	1	86	0	1	0	0	0	0	0	0	0	0	0
168	94	0	713	1	86	0	1	0	0	0	0	0	0	0	0	0
169	95	0	713	1	86	0	1	0	0	0	0	0	0	0	0	0
170	98	0	786	1	86	0	1	0	0	0	0	0	0	0	0	0
171	99	0	950	0	86	0	0	0	0	0	0	0	0	0	0	0
172	99	950	3127	1	86	0	0	0	0	0	0	1	0	0	0	0
173	100	0	950	0	86	0	1	0	0	0	0	0	0	0	0	0
174	100	950	3127	1	86	0	1	0	0	0	0	1	0	0	0	0
175	101	0	945	0	86	0	0	0	0	0	0	0	0	0	0	0
176	101	945	1612	0	86	0	0	0	0	0	0	1	0	0	0	0
177	102	0	942	0	86	0	1	0	0	0	0	0	0	0	0	0
178	102	942	1838	1	86	0	1	0	0	0	0	1	0	0	0	0
179	103	0	942	0	86	0	1	0	0	0	0	0	0	0	0	0
180	103	942	1609	0	86	0	1	0	0	0	0	1	0	0	0	0
181	104	0	934	0	86	0	1	0	0	0	0	0	0	0	0	0
182	104	934	3041	1	86	0	1	0	0	0	0	1	0	0	0	0
183	105	0	670	1	86	0	0	0	0	0	0	0	0	0	0	0
184	106	0	922	0	86	0	0	0	0	0	0	0	0	0	0	0
185	106	922	2365	0	86	0	0	0	0	0	0	1	0	0	0	0
186	107	0	915	0	86	0	1	0	0	0	0	0	0	0	0	0
187	107	915	3116	0	86	0	1	0	0	0	0	1	0	0	0	0
188	107	3116	3837	0	86	0	1	0	0	0	0	1	0	0	0	1
189	107	3837	4048	0	86	0	1	0	0	0	0	0	1	0	0	1
190	108	0	910	0	86	0	1	0	0	0	0	0	0	0	0	0
191	108	910	1577	0	86	0	1	0	0	0	0	1	0	0	0	0
192	109	0	260	1	86	0	0	0	0	0	0	0	0	0	0	0
193	110	0	376	1	86	0	0	0	0	0	0	0	0	0	0	0
194	111	0	888	0	86	0	0	0	0	0	0	0	0	0	0	0
195	111	888	2333	1	86	0	0	0	0	0	0	1	0	0	0	0
196	112	0	235	1	86	0	1	0	0	0	0	0	0	0	0	0
197	113	0	847	0	86	0	0	0	0	0	0	0	0	0	0	0
198	113	847	2290	0	86	0	0	0	0	0	0	1	0	0	0	0
199	114	0	39	1	86	0	1	0	0	0	0	0	0	0	0	0
200	116	0	301	1	86	0	1	0	0	0	0	0	0	0	0	0
201	117	0	808	0	86	0	0	0	0	0	0	0	0	0	0	0
202	117	808	1889	1	86	0	0	0	0	0	0	1	0	0	0	0
203	118	0	242	1	86	0	0	0	0	0	0	0	0	0	0	0
204	119	0	763	0	86	0	0	0	0	0	0	0	0	0	0	0
205	119	763	1659	1	86	0	0	0	0	0	0	1	0	0	0	0
206	120	0	760	0	86	0	1	0	0	0	0	0	0	0	0	0
207	120	760	2203	1	86	0	1	0	0	0	0	1	0	0	0	0
208	121	0	759	0	86	0	1	0	0	0	0	0	0	0	0	0
209	121	759	1426	0	86	0	1	0	0	0	0	1	0	0	0	0
210	122	0	300	1	86	0	0	0	0	0	0	0	0	0	0	0
211	123	0	306	1	86	0	0	0	0	0	0	0	0	0	0	0
212	124	0	740	0	86	0	0	0	0	0	0	0	0	0	0	0
213	124	740	2183	0	86	0	0	0	0	0	0	1	0	0	0	0
214	125	0	700	0	104	0	0	0	0	0	0	0	0	0	0	0
215	125	700	798	1	104	0	0	0	0	0	0	1	0	0	0	0
216	126	0	700	0	104	0	1	0	0	0	0	0	0	0	0	0
217	126	700	2901	0	104	0	1	0	0	0	0	1	0	0	0	0
218	126	2901	3622	0	104	0	1	0	0	0	0	1	0	0	0	1
219	126	3622	5299	1	104	0	1	0	0	0	0	0	1	0	0	1
220	127	0	700	0	104	0	1	0	0	0	0	0	0	0	0	0
221	127	700	2901	0	104	0	1	0	0	0	0	1	0	0	0	0
222	127	2901	3622	0	104	0	1	0	0	0	0	1	0	0	0	1
223	127	3622	5299	1	104	0	1	0	0	0	0	0	1	0	0	1
224	128	0	662	0	104	0	0	0	0	0	0	0	0	0	0	0
225	128	662	2111	1	104	0	0	0	0	0	0	1	0	0	0	0
226	129	0	378	1	104	0	0	0	0	0	0	0	0	0	0	0
227	130	0	564	0	104	0	0	0	0	0	0	0	0	0	0	0
228	130	564	2765	0	104	0	0	0	0	0	0	1	0	0	0	0
229	130	2765	3486	0	104	0	0	0	0	0	0	1	0	0	0	1
230	130	3486	5312	0	104	0	0	0	0	0	0	0	1	0	0	1
231	130	5312	5516	1	104	0	0	0	0	0	0	0	0	1	0	1
232	132	0	560	0	104	0	0	0	0	0	0	0	0	0	0	0
233	132	560	885	1	104	0	0	0	0	0	0	1	0	0	0	0
234	133	0	552	0	104	0	0	0	0	0	0	0	0	0	0	0
235	133	552	1995	0	104	0	0	0	0	0	0	1	0	0	0	0
236	134	0	537	0	104	0	1	0	0	0	0	0	0	0	0	0
237	134	537	677	1	104	0	1	0	0	0	0	1	0	0	0	0
238	135	0	524	0	104	0	0	0	0	0	0	0	0	0	0	0
239	135	524	2725	0	104	0	0	0	0	0	0	1	0	0	0	0
240	135	2725	3446	0	104	0	0	0	0	0	0	1	0	0	0	1
241	135	3446	4010	1	104	0	0	0	0	0	0	0	1	0	0	1
242	136	0	524	0	104	0	0	0	0	0	0	0	0	0	0	0
243	136	524	2725	0	104	0	0	0	0	0	0	1	0	0	0	0
244	136	2725	3446	0	104	0	0	0	0	0	0	1	0	0	0	1
245	136	3446	3657	0	104	0	0	0	0	0	0	0	1	0	0	1
246	137	0	524	0	104	0	1	0	0	0	0	0	0	0	0	0
247	137	524	2725	0	104	0	1	0	0	0	0	1	0	0	0	0
248	137	2725	3446	0	104	0	1	0	0	0	0	1	0	0	0	1
249	137	3446	4010	1	104	0	1	0	0	0	0	0	1	0	0	1
250	138	0	524	0	104	0	1	0	0	0	0	0	0	0	0	0
251	138	524	1744	0	104	0	1	0	0	0	0	1	0	0	0	0
252	139	0	523	0	104	0	1	0	0	0	0	0	0	0	0	0
253	139	523	2724	0	104	0	1	0	0	0	0	1	0	0	0	0
254	139	2724	3445	0	104	0	1	0	0	0	0	1	0	0	0	1
255	139	3445	3656	0	104	0	1	0	0	0	0	0	1	0	0	1
256	140	0	509	1	104	0	1	0	0	0	0	0	0	0	0	0
257	141	0	522	0	104	0	1	0	0	0	0	0	0	0	0	0
258	141	522	1189	0	104	0	1	0	0	0	0	1	0	0	0	0
259	142	0	318	1	104	0	0	0	0	0	0	0	0	0	0	0
260	143	0	357	1	104	0	1	0	0	0	0	0	0	0	0	0
261	144	0	509	0	104	0	0	0	0	0	0	0	0	0	0	0
262	144	509	831	1	104	0	0	0	0	0	0	1	0	0	0	0
263	145	0	509	0	104	0	1	0	0	0	0	0	0	0	0	0
264	145	509	1176	0	104	0	1	0	0	0	0	1	0	0	0	0
265	147	0	503	0	104	0	0	0	0	0	0	0	0	0	0	0
266	147	503	825	1	104	0	0	0	0	0	0	1	0	0	0	0
267	149	0	473	0	104	0	0	0	0	0	0	0	0	0	0	0
268	149	473	2674	0	104	0	0	0	0	0	0	1	0	0	0	0
269	149	2674	3395	0	104	0	0	0	0	0	0	1	0	0	0	1
270	149	3395	3400	0	104	0	0	0	0	0	0	0	1	0	0	1
271	150	0	469	0	104	0	0	0	0	0	0	0	0	0	0	0
272	150	469	553	1	104	0	0	0	0	0	0	1	0	0	0	0
273	151	0	418	0	104	0	1	0	0	0	0	0	0	0	0	0
274	151	418	2449	1	104	0	1	0	0	0	0	1	0	0	0	0
275	152	0	25	1	104	0	0	0	0	0	0	0	0	0	0	0
276	153	0	244	1	104	0	0	0	0	0	0	0	0	0	0	0
277	154	0	68	1	104	0	1	0	0	0	0	0	0	0	0	0
278	155	0	378	0	104	0	0	0	0	0	0	0	0	0	0	0
279	155	378	2559	0	104	0	0	0	0	0	0	1	0	0	0	0
280	156	0	376	0	104	0	0	0	0	0	0	0	0	0	0	0
281	156	376	1457	1	104	0	0	0	0	0	0	1	0	0	0	0
282	157	0	216	1	104	0	0	0	0	0	0	0	0	0	0	0
283	158	0	368	0	104	0	0	0	0	0	0	0	0	0	0	0
284	158	368	508	1	104	0	0	0	0	0	0	1	0	0	0	0
285	159	0	368	0	104	0	0	0	0	0	0	0	0	0	0	0
286	159	368	522	1	104	0	0	0	0	0	0	1	0	0	0	0
287	160	0	368	0	104	0	0	0	0	0	0	0	0	0	0	0
288	160	368	718	1	104	0	0	0	0	0	0	1	0	0	0	0
289	161	0	368	0	104	0	0	0	0	0	0	0	0	0	0	0
290	161	368	795	1	104	0	0	0	0	0	0	1	0	0	0	0
291	162	0	313	0	115	0	0	0	0	0	0	0	0	0	0	0
292	162	313	2514	0	115	0	0	0	0	0	0	1	0	0	0	0
293	162	2514	3235	0	115	0	0	0	0	0	0	1	0	0	0	1
294	162	3235	5006	0	115	0	0	0	0	0	0	0	1	0	0	1
295	163	0	313	0	115	0	0	0	0	0	0	0	0	0	0	0
296	163	313	2514	0	115	0	0	0	0	0	0	1	0	0	0	0
297	163	2514	3235	0	115	0	0	0	0	0	0	1	0	0	0	1
298	163	3235	5061	0	115	0	0	0	0	0	0	0	1	0	0	1
299	163	5061	5591	0	115	0	0	0	0	0	0	0	0	1	0	1
300	163	5591	6791	0	115	0	0	0	0	0	0	0	0	1	0	1
301	164	0	313	0	115	0	0	0	0	0	0	0	0	0	0	0
302	164	313	2514	0	115	0	0	0	0	0	0	1	0	0	0	0
303	164	2514	3235	0	115	0	0	0	0	0	0	1	0	0	0	1
304	164	3235	5061	0	115	0	0	0	0	0	0	0	1	0	0	1
305	164	5061	5591	0	115	0	0	0	0	0	0	0	0	1	0	1
306	164	5591	6791	0	115	0	0	0	0	0	0	0	0	1	0	1
307	165	0	313	0	115	0	0	0	0	0	0	0	0	0	0	0
308	165	313	2514	0	115	0	0	0	0	0	0	1	0	0	0	0
309	165	2514	3235	0	115	0	0	0	0	0	0	1	0	0	0	1
310	165	3235	5061	0	115	0	0	0	0	0	0	0	1	0	0	1
311	165	5061	5591	0	115	0	0	0	0	0	0	0	0	1	0	1
312	165	5591	6854	0	115	0	0	0	0	0	0	0	0	1	0	1
313	165	6854	7833	0	115	0	0	0	0	0	0	0	0	1	0	0
314	166	0	307	0	115	0	0	0	0	0	0	0	0	0	0	0
315	166	307	1024	1	115	0	0	0	0	0	0	1	0	0	0	0
316	167	0	307	0	115	0	0	0	0	0	0	0	0	0	0	0
317	167	307	1024	1	115	0	0	0	0	0	0	1	0	0	0	0
318	169	0	122	1	115	0	1	0	0	0	0	0	0	0	0	0
319	170	0	252	1	115	0	1	0	0	0	0	0	0	0	0	0
320	171	0	91	1	115	0	0	0	0	0	0	0	0	0	0	0
321	172	0	107	1	115	0	1	0	0	0	0	0	0	0	0	0
322	173	0	228	0	115	0	0	0	0	0	0	0	0	0	0	0
323	173	228	362	1	115	0	0	0	0	0	0	1	0	0	0	0
324	174	0	186	0	115	0	1	0	0	0	0	0	0	0	0	0
325	174	186	530	1	115	0	1	0	0	0	0	1	0	0	0	0
326	175	0	186	0	115	0	1	0	0	0	0	0	0	0	0	0
327	175	186	901	1	115	0	1	0	0	0	0	1	0	0	0	0
328	176	0	186	0	115	0	1	0	0	0	0	0	0	0	0	0
329	176	186	901	1	115	0	1	0	0	0	0	1	0	0	0	0
330	177	0	178	0	115	0	0	0	0	0	0	0	0	0	0	0
331	177	178	528	1	115	0	0	0	0	0	0	1	0	0	0	0
332	178	0	174	0	115	0	1	0	0	0	0	0	0	0	0	0
333	178	174	291	1	115	0	1	0	0	0	0	1	0	0	0	0
334	179	0	161	0	115	0	0	0	0	0	0	0	0	0	0	0
335	179	161	1564	1	115	0	0	0	0	0	0	1	0	0	0	0
336	180	0	161	0	115	0	0	0	0	0	0	0	0	0	0	0
337	180	161	1564	1	115	0	0	0	0	0	0	1	0	0	0	0
338	181	0	161	0	115	0	1	0	0	0	0	0	0	0	0	0
339	181	161	1617	1	115	0	1	0	0	0	0	1	0	0	0	0
340	182	0	161	0	115	0	1	0	0	0	0	0	0	0	0	0
341	182	161	2362	0	115	0	1	0	0	0	0	1	0	0	0	0
342	182	2362	3055	1	115	0	1	0	0	0	0	1	0	0	0	1
343	183	0	108	0	115	0	0	0	0	0	0	0	0	0	0	0
344	183	108	1189	1	115	0	0	0	0	0	0	1	0	0	0	0
345	184	0	108	0	115	0	0	0	0	0	0	0	0	0	0	0
346	184	108	2309	0	115	0	0	0	0	0	0	1	0	0	0	0
347	184	2309	3030	0	115	0	0	0	0	0	0	1	0	0	0	1
348	184	3030	4856	0	115	0	0	0	0	0	0	0	1	0	0	1
349	184	4856	5386	0	115	0	0	0	0	0	0	0	0	1	0	1
350	184	5386	6347	0	115	0	0	1	0	1	0	0	0	1	0	1
351	185	0	102	0	115	0	0	0	0	0	0	0	0	0	0	0
352	185	102	200	1	115	0	0	0	0	0	0	1	0	0	0	0
353	186	0	101	0	115	0	0	0	0	0	0	0	0	0	0	0
354	186	101	818	1	115	0	0	0	0	0	0	1	0	0	0	0
355	187	0	101	0	115	0	0	0	0	0	0	0	0	0	0	0
356	187	101	2279	1	115	0	0	0	0	0	0	1	0	0	0	0
357	188	0	98	0	115	0	0	0	0	0	0	0	0	0	0	0
358	188	98	617	1	115	0	0	0	0	0	0	1	0	0	0	0
359	189	0	97	0	115	0	1	0	0	0	0	0	0	0	0	0
360	189	97	2298	0	115	0	1	0	0	0	0	1	0	0	0	0
361	189	2298	2729	1	115	0	1	0	0	0	0	1	0	0	0	1
362	190	0	96	0	115	0	1	0	0	0	0	0	0	0	0	0
363	190	96	2297	0	115	0	1	0	0	0	0	1	0	0	0	0
364	190	2297	3018	0	115	0	1	0	0	0	0	1	0	0	0	1
365	190	3018	4844	0	115	0	1	0	0	0	0	0	1	0	0	1
366	190	4844	5374	0	115	0	1	0	0	0	0	0	0	1	0	1
367	190	5374	6637	0	115	0	0	1	0	1	0	0	0	1	0	1
368	190	6637	7705	0	115	0	0	1	0	1	0	0	0	1	0	0
369	190	7705	8131	0	115	0	0	0	1	0	1	0	0	1	0	0
370	190	8131	9942	0	115	0	0	0	1	0	1	0	0	0	1	0
371	191	0	91	0	115	0	1	0	0	0	0	0	0	0	0	0
372	191	91	266	1	115	0	1	0	0	0	0	1	0	0	0	0
373	192	0	87	0	115	0	0	0	0	0	0	0	0	0	0	0
374	192	87	1390	1	115	0	0	0	0	0	0	1	0	0	0	0
375	193	0	80	0	115	0	1	0	0	0	0	0	0	0	0	0
376	193	80	284	1	115	0	1	0	0	0	0	1	0	0	0	0
377	194	0	17	0	115	0	0	0	0	0	0	0	0	0	0	0
378	194	17	1186	1	115	0	0	0	0	0	0	1	0	0	0	0
379	195	0	1300	1	130	0	0	0	0	0	0	1	0	0	0	0
380	196	0	2198	0	130	0	0	0	0	0	0	1	0	0	0	0
381	196	2198	2919	0	130	0	0	0	0	0	0	1	0	0	0	1
382	196	2919	4274	1	130	0	0	0	0	0	0	0	1	0	0	1
383	197	0	2198	0	130	0	0	0	0	0	0	1	0	0	0	0
384	197	2198	2919	0	130	0	0	0	0	0	0	1	0	0	0	1
385	197	2919	4274	1	130	0	0	0	0	0	0	0	1	0	0	1
386	198	0	1440	0	130	0	0	0	0	0	0	1	0	0	0	0
387	199	0	2198	0	130	0	0	0	0	0	0	1	0	0	0	0
388	199	2198	2751	0	130	0	0	0	0	0	0	1	0	0	0	1
389	200	0	1350	1	130	0	0	0	0	0	0	1	0	0	0	0
390	201	0	790	1	130	0	1	0	0	0	0	1	0	0	0	0
391	202	0	2138	0	130	0	0	0	0	0	0	1	0	0	0	0
392	202	2138	2212	0	130	0	0	0	0	0	0	1	0	0	0	1
393	203	0	1554	1	130	0	0	0	0	0	0	1	0	0	0	0
394	204	0	2099	0	130	0	0	0	0	0	0	1	0	0	0	0
395	204	2099	2820	0	130	0	0	0	0	0	0	1	0	0	0	1
396	204	2820	4646	0	130	0	0	0	0	0	0	0	1	0	0	1
